text_col_1,text_col_2,text_col_3,text_col_4,text_col_5,text_col_6,num_col_1,num_col_2,num_col_3,num_col_4,num_col_5,num_col_6
CRWemwKa,WivoptKS,nJROWWGy,UMIXmzUz,VRDrczFq,YPNHdWvw,44071,66096,93529,4926,38987,95884
LEgsaZDG,WHOHODKG,aHSkktbU,UVcIRSms,UKwenmKJ,vRdbDVyA,70342,85322,51462,12455,19652,43365
yhbWvyDw,tANXxxuU,ucGWxHmr,iSigaTVk,TNZvNBoS,KGjAFnog,85516,90139,29159,96758,23992,97693
CMgoBUry,PzoMjBSR,jGfjIGwU,lgTXZjke,SrzLWQVW,gnvcPafE,63558,90002,44606,49510,42204,17259
NjUIVYtn,IOrbboXC,CtXwhDLj,cNCfoVIV,vcOfOSSH,yZebWrhz,35222,89329,70725,90207,42736,79645
pMMOnMof,efMBdUWC,HiiVGrzk,RODhmsMX,gSSfBcPG,JeXPbZzh,41143,46507,33030,5460,209,4182
eADOXvOS,FZTBHroh,RnhyvitB,EgQWNlvz,dOiICRUv,cAenxtwV,1614,38784,17270,31890,74166,42023
FZXMndKX,knXKezsX,YjUDFlJW,qBBWfPaN,aULHnwiA,rUDtWAvG,73806,41992,82777,80517,75889,63536
XjbFGRIA,XZLGzqGU,OEtySWDd,MdbquspF,iyEfSGdP,AXlaMkeY,73172,86010,10992,76841,33318,2933
EkuNOvWQ,iDgOKPqP,hdWsmZtp,ezcnZNBD,wfBayuoO,UzSrXRtU,1391,14160,55884,56311,97303,94997
iwFueSXS,BaibaALs,mymBHPdk,vSFAArMe,KMFKVjwE,IstZnPNO,66976,33011,85309,28750,6681,84535
ysmsWpDI,bnybJMds,ZjzJUuGQ,caRDfylC,qvMcgvmN,shTpNHPS,34520,75232,39287,38913,32198,43919
wzExMlzh,XmBqvHvR,vhLRupYk,zMjGeISC,BfaSPPXa,IJbHQzNc,76961,47516,2401,26064,34013,4
GQNSWUNh,lBOpmPwv,tPtzUNze,daMRcGaA,agdWfVey,tubUWNvn,60804,21885,47831,80093,53969,60676
eUDvnUZq,iPwqWNKz,PXFtxAjF,WnDygomo,sQeHqXqD,UtVUSuFq,51342,35947,34461,91234,3027,68438
XyccxuLO,fwfTWTNf,lBJytGrn,fEBDCWds,lOhkvURm,pmURbDET,44070,78545,76996,70597,92583,52212
ITXNoJQt,ogDQksEE,FRpRvKYM,OxeoYCZG,UfCCJMWt,SzdLdjbU,65818,97175,13554,51009,31611,74088
FelPNvJB,AaUGHAmv,SIgDcMOU,KEpBuywl,CEqxTmNa,TDbZnVmj,59596,63456,85474,3661,89602,71570
RHwJosYf,qwoaYnmy,LlQuegfk,UoGjRmxS,oExSsicz,XRCMwYNm,90766,91821,76084,27006,79823,59445
QerjFnvr,RpUZmgBk,KnEcvpgg,YACepQgV,clZZealE,DhztUvnq,2266,18685,59958,44882,26637,55932
ZbhLKOmk,IGKzbAls,tFHYBLDy,eqrQlksz,QAxZqVyc,KSCZdwVK,41433,16723,99307,28589,61787,41144
MWOveVuG,UifffMdr,nmvUwqgO,eEuoWNxV,zKxZNdpg,kARuVVmT,44940,79190,40469,8915,90928,86021
DeevGTkV,OEOiPZcP,jewSbWPJ,eyqvylOV,isFedaBD,mSjrwmUd,98868,11839,35696,1507,59661,90445
GrKyBoIL,PcYrMkxo,smSALJir,zEaubOFq,ITmIlxVE,WBaqgnjR,11732,27163,35463,86601,81314,44446
FSjpqDJm,tNaNHxCa,tqMIRiNK,FEZtGvSD,POYQjuRP,koIgxMIW,59572,35861,55008,71654,45644,98379
yZRGWESS,oikBjpBE,czYDAqZh,WffUezcv,kVyoRGnE,cznLhtpi,63346,53200,6527,50335,91483,14325
huXMXRFD,UQrjXhZz,FscKFDeY,igOMQFbv,sJYuzdKC,ZdMqUpwe,53524,14592,20733,1017,95386,43173
eusAlhFq,xuIcTTfG,dVhlwbmv,uKauvwIG,MSVRhyZx,JPwKRoMK,92457,66514,86423,33095,93690,91833
tglSJYUn,hgUrZSDy,WNPNdgHN,oBKpmzRQ,eyOMWHXa,RcohdikW,483,37611,94105,29961,42725,61095
ngIlzvPX,ramQFaLo,eHkOsOEH,aurgTLIu,JxqWBdTb,AfoeqmMq,12954,42517,20302,43487,82245,1750
lXZpWWIO,YmlyeeLM,sbjRFvbY,lMKUiipd,JsyXzUHW,GcfrtuoJ,33895,40962,19660,95580,4422,85036
zGJIGMrz,oIrvybPj,euBZztJm,cQRqwUWf,rkHvplXP,AesErqFI,15040,32252,12676,48450,57945,5447
PGLJyUjb,GStcRSGR,jHrKInhH,mMkQPFTE,twJuMFun,xMxGHzSZ,36062,52086,58101,12072,59257,83227
yknDnZQg,WLniJqWL,YMLPNykN,eYdsAUHv,fYobjBhh,JkdzRLrY,10939,47593,4645,9207,67530,50938
kSKduEye,UnLBsIGj,sjTQDyIT,bFEhdtVa,PZWCziLS,jSkuBdlF,55120,29063,27414,35796,29925,83332
lfVPelUE,jlMjuxoI,jGKwFUkE,pQtIxcGE,OvdUUPbD,QCkNEQwS,71964,63219,74882,444,32109,10525
jyzJhZhv,xXjereJZ,yyOLCyQK,gpkgJfMT,ZuPoqTjl,qJFFBvoI,89515,29310,30490,93004,9728,79458
NyeoEwIU,qAxIfpsK,aDAEKmfe,pfbUuIwG,cfEpNJSn,lAsKJLXU,55342,4357,65557,33147,41752,51108
